id,enabled,audience_segment,phase,start_time,start_sec,duration_sec,end_sec,end_time,placement,question,subtext,animation_in,animation_in_duration_ms,hold_effect,animation_out,animation_out_duration_ms,easing,motion_path,text_variant,emphasis_word,background_cue,sfx_cue,beat_sync,qr_visibility,ticker_override,api_trigger,notes
01,True,general_open_enrollment,Arrival / Orientation,00:20,20,15,35,00:35,lower_right,Where are you building from today?,Drop your city or country in chat.,fadeUp,650,floatSlow,fadeDown,500,easeOutCubic,none,questionLarge,building,soft_cyan_pulse,soft_whoosh,subtle,visible,,chat_prompt,Warm opening question for arrivals.
02,True,general_open_enrollment,Arrival / Orientation,00:45,45,16,61,01:01,center,What creative value brought you here?,"Listen for the work, the story, and the opportunity.",scaleFade,700,glowPulse,fade,500,easeOutQuart,none,questionLarge,creative value,waveform_swell,soft_chime,on_downbeat,visible,,,Introduces value-first framing.
03,True,general_open_enrollment,Arrival / Orientation,01:10,70,15,85,01:25,lower_left,Who invited you into the loop?,A simple invitation can help the right people discover real work.,fadeLeft,600,floatSlow,fadeLeft,450,easeOutCubic,left_to_right_soft,questionMedium,loop,particle_rise,soft_tick,subtle,visible,,,Softly introduces Loop language.
04,True,general_open_enrollment,Mindset Shift,01:35,95,16,111,01:51,center,"Are you here to watch, or ready to participate?",Every Builder starts with one intentional step.,blurFade,700,glowPulse,blurFade,500,easeOutCubic,none,questionLarge,participate,stage_glow,soft_whoosh,on_downbeat,visible,,,Moves audience from spectator to Builder identity.
05,True,general_open_enrollment,Creative Value,02:00,120,16,136,02:16,lower_right,What happens when creative value reaches the people who will recognize it?,That is the movement Bema CORE is designed to make visible.,fadeUp,650,floatSlow,fadeDown,500,easeOutCubic,none,questionMedium,recognize,cyan_ring_expand,soft_chime,subtle,visible,,,"Uses positive definition, not denial."
06,True,general_open_enrollment,Creative Value,02:25,145,15,160,02:40,center,Which creator's work deserves to move farther?,"Think of the music, art, message, or vision that should not stay hidden.",scaleFade,700,waveDrift,fade,500,easeOutQuart,none,questionLarge,creator's work,waveform_swell,soft_whoosh,on_downbeat,visible,,,Keeps creator positioned professionally.
07,True,general_open_enrollment,Mutual Exchange,02:50,170,16,186,03:06,lower_left,What does mutual exchange mean to you?,"Participants access real creative value, and engagement helps that value move.",fadeLeft,600,floatSlow,fadeLeft,450,easeOutCubic,left_to_right_soft,questionMedium,mutual exchange,soft_purple_glow,soft_chime,subtle,visible,,,Introduces mutual exchange plainly.
08,True,general_open_enrollment,Mutual Exchange,03:15,195,15,210,03:30,center,Can participation be more than attention?,"Tonight, participation becomes visible through EchoLoop.",blurFade,700,glowPulse,blurFade,500,easeOutCubic,none,questionLarge,participation,equalizer_lift,soft_tick,on_downbeat,visible,,,Prepares for EchoLoop without over-explaining.
09,True,general_open_enrollment,Builder Identity,03:40,220,16,236,03:56,lower_right,Your network has value. How will you use it with integrity?,Builders share what they genuinely believe in.,fadeUp,650,floatSlow,fadeDown,500,easeOutCubic,none,questionMedium,integrity,soft_cyan_pulse,soft_whoosh,subtle,visible,,,Important anti-spam framing.
10,True,general_open_enrollment,Builder Identity,04:05,245,15,260,04:20,center,Are you ready to become a Builder?,A Builder helps meaningful creative value reach the right people.,scaleFade,700,glowPulse,fade,500,easeOutQuart,none,questionLarge,Builder,stage_glow,soft_chime,on_downbeat,visible,,,Uses approved participant identity.
11,True,general_open_enrollment,Access Readiness,04:30,270,16,286,04:46,lower_left,How deeply do you want to enter this campaign experience?,"Participation Level, VIP Access, and Signature VIP are the vertical climb.",fadeLeft,600,floatSlow,fadeLeft,450,easeOutCubic,left_to_right_soft,questionMedium,vertical climb,purple_ring_expand,soft_tick,subtle,visible,,,Prepares for Access Levels.
12,True,general_open_enrollment,Access Readiness,04:55,295,15,310,05:10,center,Which Access Level fits your next step?,Choose the level that matches how you want to experience the campaign.,blurFade,700,glowPulse,blurFade,500,easeOutCubic,none,questionLarge,Access Level,waveform_swell,soft_chime,on_downbeat,visible,,,Action-oriented without pressure.
13,True,general_open_enrollment,EchoLoop Readiness,05:20,320,16,336,05:36,lower_right,How far could creative value move through your community?,Community Builder Tiers are the horizontal spread.,fadeUp,650,floatSlow,fadeDown,500,easeOutCubic,none,questionMedium,horizontal spread,cyan_ring_expand,soft_whoosh,subtle,visible,,,Prepares vertical/horizontal distinction.
14,True,general_open_enrollment,EchoLoop Readiness,05:45,345,15,360,06:00,center,How could your LoopLink help the right people discover this work?,Share with people who may truly value it.,scaleFade,700,waveDrift,fade,500,easeOutQuart,none,questionLarge,LoopLink,particle_rise,soft_tick,on_downbeat,visible,,,Introduces LoopLink with integrity.
15,True,general_open_enrollment,EchoLoop Readiness,06:10,370,16,386,06:26,lower_left,What would a meaningful LoopLock represent?,A confirmed participation through your LoopLink or LoopCode.,fadeLeft,600,floatSlow,fadeLeft,450,easeOutCubic,left_to_right_soft,questionMedium,LoopLock,equalizer_lift,soft_chime,subtle,visible,,,Defines LoopLock simply.
16,True,general_open_enrollment,Recognition Clarity,06:35,395,18,413,06:53,center,Qualified LoopLocks may contribute to Recognized Impact according to campaign rules.,Real value movement is recognized with transparency.,blurFade,700,glowPulse,blurFade,500,easeOutCubic,none,statementLarge,Recognized Impact,soft_purple_glow,soft_whoosh,on_downbeat,visible,,,Careful compliance phrasing.
17,True,general_open_enrollment,Recognition Clarity,07:05,425,16,441,07:21,lower_right,What kind of impact should be recognized when real value moves?,Bema CORE makes that activity visible through Loop Activity.,fadeUp,650,floatSlow,fadeDown,500,easeOutCubic,none,questionMedium,Loop Activity,cyan_ring_expand,soft_chime,subtle,visible,,,Explains RI through value created.
18,True,general_open_enrollment,Trust / Integrity,07:30,450,16,466,07:46,center,"Can we build without pressure, hype, or spam?","Yes — Builders share with clarity, respect, and belief in the work.",scaleFade,700,glowPulse,fade,500,easeOutQuart,none,questionLarge,clarity,stage_glow,soft_tick,on_downbeat,visible,,,Trust-building prompt.
19,True,general_open_enrollment,Trust / Integrity,07:55,475,15,490,08:10,lower_left,Who would genuinely appreciate this work?,That is the person to invite into the loop.,fadeLeft,600,floatSlow,fadeLeft,450,easeOutCubic,left_to_right_soft,questionMedium,genuinely,particle_rise,soft_chime,subtle,visible,,,Keeps sharing relational and ethical.
20,True,general_open_enrollment,Action Readiness,08:20,500,16,516,08:36,center,What question do you need answered before you choose your level?,Keep it ready for the live Q&A.,blurFade,700,waveDrift,blurFade,500,easeOutCubic,none,questionLarge,question,waveform_swell,soft_whoosh,on_downbeat,visible,,qna_prompt,Seeds Q&A engagement.
21,True,general_open_enrollment,Action Readiness,08:45,525,15,540,09:00,lower_right,Scan when you are ready to explore the Hub.,"You can observe first, then participate when it feels aligned.",fadeUp,650,floatSlow,fadeDown,500,easeOutCubic,none,questionMedium,explore,qr_glow,soft_chime,subtle,pulse,,qr_focus,Activates QR without pressure.
22,True,general_open_enrollment,Action Readiness,09:10,550,15,565,09:25,lower_left,Say hello in chat and tell us where you are building from.,The community is already forming.,fadeLeft,600,floatSlow,fadeLeft,450,easeOutCubic,left_to_right_soft,questionMedium,chat,chat_bubble_pop,soft_tick,subtle,visible,Welcome Builders • Share your city • Get ready,chat_prompt,Final chat activation.
23,True,general_open_enrollment,Final Readiness,09:35,575,15,590,09:50,center,Open Enrollment begins soon.,Bring your curiosity. Bring your questions. Bring your Builder mindset.,scaleFade,700,glowPulse,fade,500,easeOutQuart,none,statementLarge,Builder mindset,stage_glow,soft_whoosh,on_downbeat,visible,,,Final readiness cue.
24,True,general_open_enrollment,Final Readiness,09:52,592,8,600,10:00,center,Creative value. Transparent participation. Builders moving together.,Welcome to BemaHub Open Enrollment.,blurFade,500,glowPulse,blurFade,350,easeOutCubic,none,statementLarge,Builders,final_light_sweep,soft_chime,on_downbeat,visible,,transition_to_visualizer,Final text before scene transition.
